tabelcode;datapunt
S.05.01.02.02;R1510C0230
S.05.01.02.02;R1520C0230
S.05.01.02.02;R1600C0230
S.05.01.02.02;R1610C0230
S.05.01.02.02;R1620C0230
S.05.01.02.02;R1700C0230
S.05.01.02.02;R1710C0230
S.05.01.02.02;R1720C0230
S.05.01.02.02;R1800C0230
S.05.01.02.02;R1900C0230
S.05.01.02.02;R1410C0240
S.05.01.02.02;R1420C0240
S.05.01.02.02;R1500C0240
S.05.01.02.02;R1510C0240
S.05.01.02.02;R1520C0240
S.05.01.02.02;R1600C0240
S.05.01.02.02;R1610C0240
S.05.01.02.02;R1620C0240
S.05.01.02.02;R1700C0240
S.05.01.02.02;R1710C0240
S.05.01.02.02;R1720C0240
S.05.01.02.02;R1800C0240
S.05.01.02.02;R1900C0240
S.05.01.02.02;R1410C0250
S.05.01.02.02;R1420C0250
S.05.01.02.02;R1500C0250
S.05.01.02.02;R1510C0250
S.05.01.02.02;R1520C0250
S.05.01.02.02;R1600C0250
S.05.01.02.02;R1610C0250
S.05.01.02.02;R1620C0250
S.05.01.02.02;R1700C0250
S.05.01.02.02;R1710C0250
S.05.01.02.02;R1720C0250
S.05.01.02.02;R1800C0250
S.05.01.02.02;R1900C0250
S.05.01.02.02;R1410C0260
S.05.01.02.02;R1420C0260
S.05.01.02.02;R1500C0260
S.05.01.02.02;R1510C0260
S.05.01.02.02;R1520C0260
S.05.01.02.02;R1600C0260
S.05.01.02.02;R1610C0260
S.05.01.02.02;R1620C0260
S.05.01.02.02;R1700C0260
S.05.01.02.02;R1710C0260
S.05.01.02.02;R1720C0260
S.05.01.02.02;R1800C0260
S.05.01.02.02;R1900C0260
S.05.01.02.02;R1410C0270
S.05.01.02.02;R1420C0270
S.05.01.02.02;R1500C0270
S.05.01.02.02;R1510C0270
S.05.01.02.02;R1520C0270
S.05.01.02.02;R1600C0270
S.05.01.02.02;R1610C0270
S.05.01.02.02;R1620C0270
S.05.01.02.02;R1700C0270
S.05.01.02.02;R1710C0270
S.05.01.02.02;R1720C0270
S.05.01.02.02;R1800C0270
S.05.01.02.02;R1900C0270
S.05.01.02.02;R1410C0280
S.05.01.02.02;R1420C0280
S.05.01.02.02;R1500C0280
S.05.01.02.02;R1510C0280
S.05.01.02.02;R1520C0280
S.05.01.02.02;R1600C0280
S.05.01.02.02;R1610C0280
S.05.01.02.02;R1620C0280
S.05.01.02.02;R1700C0280
S.05.01.02.02;R1710C0280
S.05.01.02.02;R1720C0280
S.05.01.02.02;R1800C0280
S.05.01.02.02;R1900C0280
S.05.01.02.02;R1410C0300
S.05.01.02.02;R1420C0300
S.05.01.02.02;R1500C0300
S.05.01.02.02;R1510C0300
S.05.01.02.02;R1520C0300
S.05.01.02.02;R1600C0300
S.05.01.02.02;R1610C0300
S.05.01.02.02;R1620C0300
S.05.01.02.02;R1700C0300
S.05.01.02.02;R1710C0300
S.05.01.02.02;R1720C0300
S.05.01.02.02;R1800C0300
S.05.01.02.02;R1900C0300
S.05.01.02.02;R2500C0300
S.05.01.02.02;R2600C0300
S.06.02.01.01;C0060
S.06.02.01.01;C0090
S.06.02.01.01;C0100
S.06.02.01.01;C0110
S.06.02.01.01;C0120
S.06.02.01.01;C0130
S.06.02.01.01;C0140
S.06.02.01.01;C0150
S.06.02.01.01;C0160
S.06.02.01.01;C0170
S.06.02.01.01;C0180
S.06.02.01.01;C0001
S.06.02.01.01;C0040
S.06.02.01.01;C0070
S.06.02.01.01;C0080
S.06.02.01.02;C0190
S.06.02.01.02;C0200
S.06.02.01.02;C0210
S.06.02.01.02;C0230
S.06.02.01.02;C0240
S.06.02.01.02;C0250
S.06.02.01.02;C0270
S.06.02.01.02;C0280
S.06.02.01.02;C0290
S.06.02.01.02;C0292
S.06.02.01.02;C0300
S.06.02.01.02;C0310
S.06.02.01.02;C0320
S.06.02.01.02;C0330
S.06.02.01.02;C0340
S.06.02.01.02;C0350
S.06.02.01.02;C0360
S.06.02.01.02;C0370
S.06.02.01.02;C0380
S.06.02.01.02;C0390
S.06.02.01.02;C0040
S.06.03.01.01;C0030
S.06.03.01.01;C0040
S.06.03.01.01;C0050
S.06.03.01.01;C0060
S.06.03.01.01;C0010
S.06.03.01.01;C0100
S.08.01.01.01;C0060
S.08.01.01.01;C0080
S.08.01.01.01;C0110
S.08.01.01.01;C0120
S.08.01.01.01;C0130
S.08.01.01.01;C0140
S.08.01.01.01;C0150
S.08.01.01.01;C0160
S.08.01.01.01;C0170
S.08.01.01.01;C0180
S.08.01.01.01;C0190
S.08.01.01.01;C0200
S.08.01.01.01;C0210
S.08.01.01.01;C0220
S.08.01.01.01;C0230
S.08.01.01.01;C0240
S.08.01.01.01;C0250
S.08.01.01.01;C0040
S.08.01.01.01;C0070
S.08.01.01.01;C0090
S.08.01.01.01;C0440
S.08.01.01.02;C0260
S.08.01.01.02;C0270
S.08.01.01.02;C0290
S.08.01.01.02;C0300
S.08.01.01.02;C0310
S.08.01.01.02;C0320
S.08.01.01.02;C0330
S.08.01.01.02;C0340
S.08.01.01.02;C0360
S.08.01.01.02;C0370
S.08.01.01.02;C0380
S.08.01.01.02;C0390
S.08.01.01.02;C0400
S.08.01.01.02;C0410
S.08.01.01.02;C0420
S.08.01.01.02;C0430
S.08.01.01.02;C0040
S.08.02.01.01;C0060
S.08.02.01.01;C0080
S.08.02.01.01;C0110
S.08.02.01.01;C0120
S.08.02.01.01;C0130
S.08.02.01.01;C0140
S.08.02.01.01;C0150
S.08.02.01.01;C0160
S.08.02.01.01;C0170
S.08.02.01.01;C0180
S.08.02.01.01;C0190
S.08.02.01.01;C0200
S.08.02.01.01;C0210
S.08.02.01.01;C0220
S.08.02.01.01;C0230
S.08.02.01.01;C0040
S.08.02.01.01;C0070
S.08.02.01.01;C0090
S.08.02.01.01;C0440
S.08.02.01.02;C0240
S.08.02.01.02;C0250
S.08.02.01.02;C0270
S.08.02.01.02;C0280
S.08.02.01.02;C0300
S.08.02.01.02;C0310
S.08.02.01.02;C0320
S.08.02.01.02;C0330
S.08.02.01.02;C0340
S.08.02.01.02;C0350
S.08.02.01.02;C0360
S.08.02.01.02;C0370
S.08.02.01.02;C0040
S.12.01.02.01;R0010C0020
S.12.01.02.01;R0020C0020
S.12.01.02.01;R0030C0020
S.12.01.02.01;R0080C0020
S.12.01.02.01;R0090C0020
S.12.01.02.01;R0100C0020
S.12.01.02.01;R0110C0020
S.12.01.02.01;R0120C0020
S.12.01.02.01;R0130C0020
S.12.01.02.01;R0200C0020
S.12.01.02.01;R0010C0030
